Anomaly Category,Description,Anomalous,Bag file
Normal,Normal cart behavior,No,bag1.mcap
Normal,Normal cart behavior,No,bag2.mcap
Normal,Normal cart behavior,No,bag3.mcap
Dynamic obstacle,Large crowd,Yes,bag4.mcap
Dynamic obstacle,Cyclist,Yes,bag5.mcap
Dynamic obstacle,Dog,Yes,bag6.mcap
Dynamic obstacle,Pedestrian,Yes,bag7.mcap
Static obstacle,Fallen tree,Yes,bag8.mcap
Static obstacle,Construction,Yes,bag9.mcap
Static obstacle,Miscillanious Object,Yes,bag10.mcap
Driver issues,Driver passes out,Yes,bag11.mcap
Driver issues,Requests stop,Yes,bag12.mcap
Driver issues,Shouting/distress,Yes,bag13.mcap
Mechanical issue,Wheel jam,Yes,bag14.mcap
Mechanical issue,Missing hearbeat,Yes,rosbag2_2026_04_22-17_52_00
Mechanical issue,Light failure,Yes,bag16.mcap
Mechanical issue,Motor stall,Yes,bag17.mcap
Sensor issues,Camera obscured,Yes,bag18.mcap
Sensor issues,ETA jump,Yes,bag19.mcap
Sensor issues,Cart thinks its moving but isn't,Yes,bag20.mcap
Unauthorized access,Person enters cart while driving,Yes,bag21.mcap
Unauthorized access,Tampering with controls,Yes,bag22.mcap
Unauthorized access,Hitting/messing with the cart,Yes,bag23.mcap
Route issue,Driving on curb,Yes,bag24.mcap
Route issue,Localization issue,Yes,bag25.mcap
